folder,file_count
Pica_serica,3753
Anas_zonorhyncha,2574
Ardea_cinerea,2490
Streptopelia_orientalis,2124
Passer_montanus,2103
Hypsipetes_amaurotis,1908
Corvus_macrorhynchos,1882
Larus_crassirostris,1824
Phoenicurus_auroreus,1615
Anas_platyrhynchos,1560
Cyanopica_cyanus,1422
Ardea_alba,1416
Parus_cinereus,1242
Columba_livia_domestica,1240
Phalacrocorax_carbo,1236
Aix_galericulata,1069
Emberiza_elegans,973
Felis_catus,942
Hirundo_rustica,917
Lanius_bucephalus,871
Egretta_garzetta,869
Fulica_atra,846
Motacilla_alba,840
Suthora_webbiana,839
Chloris_sinica,828
Anas_crecca,790
Larus,787
Buteo_japonicus,738
Tachybaptus_ruficollis,681
Sittiparus_varius,671
Mergus_merganser,614
Hydropotes_inermis,580
Falco_tinnunculus,569
Poecile_palustris,560
Tringa_nebularia,554
Aythya_ferina,547
Podiceps_cristatus,542
Aegithalos_caudatus,538
Actitis_hypoleucos,520
Motacilla_cinerea,519
Larus_vegae,507
Anser_albifrons,480
Thinornis_dubius,473
Mareca_strepera,472
Spodiopsar_cineraceus,463
Phalacrocorax_capillatus,463
Eophona_migratoria,459
Tringa_ochropus,453
Emberiza_rustica,446
Fringilla_montifringilla,440
Cygnus_cygnus,439
Larus_mongolicus,438
Turdus_eunomus,438
Platalea_minor,436
Monticola_solitarius,434
Garrulus_glandarius,429
Phasianus_colchicus,427
Aegypius_monachus,427
Thinornis_placidus,423
Aves,422
Eutamias_sibiricus,418
Spatula_clypeata,412
Anas_crecca_crecca,403
Chroicocephalus_ridibundus,403
Mareca_penelope,401
Sciurus_vulgaris,379
Zosterops_japonicus,366
Ardea_coromanda,360
Turdus_pallidus,356
Alcedo_atthis,351
Emberiza_spodocephala,348
Yungipicus_kizuki,343
Eurystomus_orientalis,341
Aythya_fuligula,340
Dendrocopos_major,340
Ardea_intermedia,329
Corvus_frugilegus,322
Mareca_falcata,314
Anas_acuta,314
Anthus_hodgsoni,311
Sitta_europaea,311
Calidris_ruficollis,307
Calidris_alpina,301
Butorides_striata,296
Turdus_hortulorum,296
Haliaeetus_albicilla,292
Himantopus_himantopus,290
Turdus_naumanni,286
Capreolus_pygargus,284
Gallinago_gallinago,279
Anarhynchus_alexandrinus,273
Platalea_leucorodia,261
Saxicola_stejnegeri,261
Anser_fabalis,258
Falco_peregrinus,258
Pycnonotus_sinensis,256
Accipiter_nisus,256
Ciconia_boyciana,256
Nycticorax_nycticorax,255
Tringa_glareola,251
Motacilla_grandis,250
Grus_monacha,249
Dendrocopos_leucotos,248
Emberiza_cioides,246
Haematopus_ostralegus,246
Muscicapa_dauurica,244
Upupa_epops,243
Sibirionetta_formosa,243
Gallinula_chloropus,236
Anser_serrirostris,234
Motacilla_alba_lugens,232
Larus_fuscus_heuglini,232
Homo_sapiens,228
Xenus_cinereus,228
Tadorna_tadorna,228
Hypsipetes_amaurotis_amaurotis,223
Tringa_brevipes,221
Larus_schistisagus,212
Antigone_vipio,208
Limosa_lapponica,206
Motacilla_alba_leucopsis,206
Pandion_haliaetus,204
Picus_canus,202
Mammalia,195
Periparus_ater,195
Pluvialis_squatarola,194
Hydropotes_inermis_argyropus,194
Bucephala_clangula,192
Numenius_phaeopus,191
Mergus_serrator,186
Nyctereutes_procyonoides,182
Emberiza_pallasi,180
Egretta_sacra,179
Cyanoptila_cyanomelana,179
Apus_pacificus,178
Spinus_spinus,177
Oriolus_chinensis,176
Tadorna_ferruginea,172
Anthus_japonicus,171
Circus_cyaneus,169
Tarsiger_cyanurus,169
Corvus,167
Anarhynchus_mongolus,167
Mergellus_albellus,165
Calonectris_leucomelas,165
Acrocephalus_orientalis,158
Sus_scrofa,157
Canis_familiaris,154
Alauda_arvensis,154
Emberiza_pusilla,153
Spatula_querquedula,153
